t,bin_width,yield,yield_percent_error,acceptance,cs
0.05,0.1,458.4892411322797,1.3944091393329558,0.0021625493319682356,1502494.3452647552
0.15000000000000002,0.1,3886.3742963924637,0.4286562774056669,0.0223523589585528,1232170.9980558646
0.25,0.1,3216.064281306419,0.4355088781625865,0.02826253276273042,806423.8478120355
0.35000000000000003,0.1,2397.1465908333757,0.47112797441957904,0.029910798153034546,567958.1178971397
0.525,0.25,2984.8814155363852,0.530093317925818,0.02987573105588412,283216.30512549536
0.775,0.25,1136.1830511329836,1.2223165694175546,0.028941852456111306,111283.7349321489
1.15,0.5,673.8519641039297,1.3815119350341134,0.004293244200521719,222463.4268320308
1.65,0.5,183.1677289493575,2.7252206479995547,0.022362689893861833,11609.262613829427
