t,bin_width,yield,yield_percent_error,acceptance,cs
0.225,0.05,-16.236720539748333,-116.55836006996863,0.041219795117589775,-8927.57239524874
0.27499999999999997,0.05,-21.155864152998056,-81.36587825335059,0.04340526612774276,-11046.615555002196
0.32499999999999996,0.05,33.04622260626237,52.4950423885023,0.044938685375468385,16666.42123185623
0.375,0.05,46.66758010854871,36.13688498878332,0.04556471955330718,23212.797013187937
0.45,0.1,126.64040192414588,13.57037886082178,0.046131983567186244,31108.641743734468
0.5499999999999999,0.1,130.85813434019414,13.050314288471347,0.04648202811120941,31902.63485646917
0.6499999999999999,0.1,69.86403922119625,17.426791500910795,0.04645420085873343,17042.746943787162
0.75,0.1,56.062270358598255,20.24489987110843,0.04557369361728615,13940.146922868906
0.85,0.1,52.8882200325252,18.324345669068336,0.04493973622455917,13336.422020062102
1.0,0.2,56.769051045775264,17.73140064239159,0.04489282151439287,7164.990768917781
1.2,0.2,23.16298511241736,30.526173284616952,0.04164955515565523,3151.120877509664
1.4,0.2,16.54704025679396,61.00437172430383,0.03812254165329515,2459.3445569744863
