t,bin_width,yield,yield_percent_error,acceptance,cs
0.225,0.05,56.73201947377607,26.78328789387066,0.048155134453612525,43811.530947216335
0.27499999999999997,0.05,51.739199224438366,30.319468133262085,0.050106194813887464,38399.98600286054
0.32499999999999996,0.05,57.13838346767229,21.138175464498506,0.0504976067169394,42078.46994078588
0.375,0.05,48.62208037976025,22.27362796864541,0.050121007949475355,36075.846189115204
0.45,0.1,98.42572138705681,16.544309186746336,0.049187490119455335,37207.178200215196
0.5499999999999999,0.1,128.3939634659462,11.44555217143818,0.047604488016149984,50149.83368378787
0.6499999999999999,0.1,80.43131723846743,14.925403692562602,0.04529590920542988,33017.104935783165
0.75,0.1,59.73444552269709,17.233370933537465,0.04289384854712493,25894.206852193558
0.85,0.1,28.436634889108795,29.59061743338604,0.04059096318642418,13026.316778623128
1.0,0.2,37.64247795739526,25.162634255215576,0.03917676482381386,8932.899125666903
1.2,0.2,36.80860670341842,26.45878088652219,0.03503241031167052,9768.371196788117
1.4,0.2,10.565948648090883,50.973563693731485,0.04015801846222253,2446.1270777427762
